Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,date,type,Sub-Domain,number
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-19,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-26,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-03,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-10,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-17,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-24,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-07,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-14,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-21,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-28,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-04,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-11,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-18,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-25,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-04,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-11,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-18,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-25,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-04-01,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-04-08,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-04-15,Cumulative_Cases,,4
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-04-22,Cumulative_Cases,,5
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-04-29,Cumulative_Cases,,5
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-05-06,Cumulative_Cases,,5
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-05-13,Cumulative_Cases,,5
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-05-20,Cumulative_Cases,,5
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-05-27,Cumulative_Cases,,6
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-06-03,Cumulative_Cases,,7
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-06-10,Cumulative_Cases,,7
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-06-17,Cumulative_Cases,,7
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-06-24,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-07-01,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-07-08,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-07-15,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-07-22,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-07-29,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-08-05,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-08-12,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-08-19,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-08-26,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-09-02,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-09-09,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-09-16,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-09-23,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-09-30,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-10-07,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-10-14,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-10-21,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-10-28,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-11-04,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-11-11,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-11-18,Cumulative_Cases,,8
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-11-25,Cumulative_Cases,,9
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-12-02,Cumulative_Cases,,10
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-12-09,Cumulative_Cases,,11
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-12-16,Cumulative_Cases,,13
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-12-23,Cumulative_Cases,,17
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-12-30,Cumulative_Cases,,18
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-01-13,Cumulative_Cases,,22
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-01-20,Cumulative_Cases,,33
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-01-27,Cumulative_Cases,,49
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-02-03,Cumulative_Cases,,72
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-02-10,Cumulative_Cases,,84
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-02-17,Cumulative_Cases,,98
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-02-24,Cumulative_Cases,,116
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-03-03,Cumulative_Cases,,124
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-03-10,Cumulative_Cases,,131
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-03-17,Cumulative_Cases,,141
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-03-24,Cumulative_Cases,,148
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-03-31,Cumulative_Cases,,158
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-04-07,Cumulative_Cases,,163
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-04-14,Cumulative_Cases,,174
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-04-21,Cumulative_Cases,,182
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-04-28,Cumulative_Cases,,200
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-05-05,Cumulative_Cases,,213
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-05-12,Cumulative_Cases,,222
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-05-19,Cumulative_Cases,,244
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-05-26,Cumulative_Cases,,254
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-06-02,Cumulative_Cases,,259
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-06-09,Cumulative_Cases,,272
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-06-16,Cumulative_Cases,,274
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-06-23,Cumulative_Cases,,285
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-06-30,Cumulative_Cases,,296
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-07-07,Cumulative_Cases,,299
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-07-14,Cumulative_Cases,,306
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-07-21,Cumulative_Cases,,313
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-07-28,Cumulative_Cases,,317
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-08-04,Cumulative_Cases,,322
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-08-11,Cumulative_Cases,,328
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-08-18,Cumulative_Cases,,335
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-08-25,Cumulative_Cases,,342
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-09-01,Cumulative_Cases,,346
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-09-08,Cumulative_Cases,,355
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-09-15,Cumulative_Cases,,372
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-09-22,Cumulative_Cases,,380
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-09-29,Cumulative_Cases,,402
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-10-06,Cumulative_Cases,,420
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-10-13,Cumulative_Cases,,441
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-10-20,Cumulative_Cases,,457
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-10-27,Cumulative_Cases,,488
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-11-03,Cumulative_Cases,,513
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-11-10,Cumulative_Cases,,541
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-11-17,Cumulative_Cases,,567
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-11-24,Cumulative_Cases,,585
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-12-01,Cumulative_Cases,,612
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-12-08,Cumulative_Cases,,623
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-12-15,Cumulative_Cases,,661
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-12-22,Cumulative_Cases,,690
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2002-12-29,Cumulative_Cases,,711
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-01-05,Cumulative_Cases,,722
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-01-12,Cumulative_Cases,,732
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-01-19,Cumulative_Cases,,737
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-01-26,Cumulative_Cases,,743
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-02-02,Cumulative_Cases,,745
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-02-09,Cumulative_Cases,,746
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-02-16,Cumulative_Cases,,748
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-02-23,Cumulative_Cases,,750
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-03-02,Cumulative_Cases,,753
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-03-09,Cumulative_Cases,,758
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-03-16,Cumulative_Cases,,759
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-03-23,Cumulative_Cases,,763
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-03-30,Cumulative_Cases,,765
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-04-06,Cumulative_Cases,,769
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-04-13,Cumulative_Cases,,769
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-04-20,Cumulative_Cases,,769
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-04-27,Cumulative_Cases,,769
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-05-04,Cumulative_Cases,,769
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-05-11,Cumulative_Cases,,770
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-05-18,Cumulative_Cases,,771
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-05-25,Cumulative_Cases,,772
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-06-01,Cumulative_Cases,,773
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-06-08,Cumulative_Cases,,774
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-06-15,Cumulative_Cases,,776
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-06-22,Cumulative_Cases,,779
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-06-29,Cumulative_Cases,,783
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-07-06,Cumulative_Cases,,789
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-07-13,Cumulative_Cases,,791
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-07-20,Cumulative_Cases,,793
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-07-27,Cumulative_Cases,,798
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-08-03,Cumulative_Cases,,799
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-08-10,Cumulative_Cases,,800
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-08-17,Cumulative_Cases,,800
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-08-24,Cumulative_Cases,,800
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-08-31,Cumulative_Cases,,800
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-09-07,Cumulative_Cases,,800
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-09-14,Cumulative_Cases,,802
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-09-21,Cumulative_Cases,,802
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-09-28,Cumulative_Cases,,805
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-10-05,Cumulative_Cases,,805
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-10-12,Cumulative_Cases,,805
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-10-19,Cumulative_Cases,,805
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-10-26,Cumulative_Cases,,807
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-11-02,Cumulative_Cases,,809
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-11-09,Cumulative_Cases,,812
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-11-16,Cumulative_Cases,,815
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-11-23,Cumulative_Cases,,818
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-11-30,Cumulative_Cases,,819
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-12-07,Cumulative_Cases,,821
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-12-14,Cumulative_Cases,,824
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-12-21,Cumulative_Cases,,830
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2003-12-28,Cumulative_Cases,,835
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-01-04,Cumulative_Cases,,836
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-01-11,Cumulative_Cases,,840
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-01-18,Cumulative_Cases,,845
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-01-25,Cumulative_Cases,,853
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-02-01,Cumulative_Cases,,858
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-02-08,Cumulative_Cases,,860
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-02-15,Cumulative_Cases,,863
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-02-22,Cumulative_Cases,,866
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-02-29,Cumulative_Cases,,867
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-03-07,Cumulative_Cases,,873
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-03-14,Cumulative_Cases,,877
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-03-21,Cumulative_Cases,,878
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-03-28,Cumulative_Cases,,880
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-04-04,Cumulative_Cases,,883
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-04-11,Cumulative_Cases,,884
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-04-18,Cumulative_Cases,,892
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-04-25,Cumulative_Cases,,896
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-05-02,Cumulative_Cases,,902
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-05-09,Cumulative_Cases,,909
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-05-16,Cumulative_Cases,,914
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-05-23,Cumulative_Cases,,922
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-05-30,Cumulative_Cases,,928
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-06-06,Cumulative_Cases,,933
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-06-13,Cumulative_Cases,,939
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-06-20,Cumulative_Cases,,945
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-06-27,Cumulative_Cases,,958
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-07-04,Cumulative_Cases,,960
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-07-11,Cumulative_Cases,,970
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-07-18,Cumulative_Cases,,973
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-07-25,Cumulative_Cases,,985
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-08-01,Cumulative_Cases,,992
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-08-08,Cumulative_Cases,,998
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-08-15,Cumulative_Cases,,1003
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-08-22,Cumulative_Cases,,1009
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-08-29,Cumulative_Cases,,1015
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-09-05,Cumulative_Cases,,1021
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-09-12,Cumulative_Cases,,1029
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-09-19,Cumulative_Cases,,1035
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-09-26,Cumulative_Cases,,1044
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-10-03,Cumulative_Cases,,1056
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-10-10,Cumulative_Cases,,1075
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-10-17,Cumulative_Cases,,1083
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-10-24,Cumulative_Cases,,1099
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-10-31,Cumulative_Cases,,1120
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-11-07,Cumulative_Cases,,1126
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-11-14,Cumulative_Cases,,1148
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-11-21,Cumulative_Cases,,1185
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-11-28,Cumulative_Cases,,1218
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-12-05,Cumulative_Cases,,1236
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-12-12,Cumulative_Cases,,1319
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-12-19,Cumulative_Cases,,1435
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2004-12-26,Cumulative_Cases,,1467
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-01-02,Cumulative_Cases,,1474
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-01-09,Cumulative_Cases,,1483
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-01-16,Cumulative_Cases,,1488
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-01-23,Cumulative_Cases,,1496
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-01-30,Cumulative_Cases,,1503
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-02-06,Cumulative_Cases,,1511
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-02-13,Cumulative_Cases,,1522
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-02-20,Cumulative_Cases,,1528
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-02-27,Cumulative_Cases,,1535
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-03-06,Cumulative_Cases,,1542
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-03-13,Cumulative_Cases,,1556
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-03-20,Cumulative_Cases,,1563
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-03-27,Cumulative_Cases,,1572
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-04-03,Cumulative_Cases,,1585
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-04-10,Cumulative_Cases,,1601
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-04-17,Cumulative_Cases,,1608
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-04-24,Cumulative_Cases,,1617
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-05-01,Cumulative_Cases,,1619
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-05-08,Cumulative_Cases,,1632
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-05-15,Cumulative_Cases,,1640
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-05-22,Cumulative_Cases,,1643
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-05-29,Cumulative_Cases,,1648
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2005-06-05,Cumulative_Cases,,1652
